2025/07/31 13:22:34 CONFIG_SYNC: Version: 1.8.1-rh-1
2025/07/31 13:22:34 CONFIG_SYNC: Waiting for Skupper router to be ready
2025/07/31 13:22:39 CONFIG_SYNC: Starting collector...
2025/07/31 13:22:39 CONFIG_SYNC: Claim verifier started
2025/07/31 13:22:39 CONFIG_SYNC: Creating ConfigMap informer...
2025/07/31 13:22:39 CONFIG_SYNC: Waiting for informer to sync...
2025/07/31 13:22:39 Claim verifier listening on :8081
I0731 13:22:39.606065       1 leaderelection.go:243] attempting to acquire leader lease silm-mongodb/skupper-site-leader...
2025/07/31 13:22:39 COLLECTOR: New leader for site collection is skupper-router-6c9d8b4d99-dv879
2025/07/31 13:22:39 CONFIG_SYNC: Starting sync controller loop...
2025/07/31 13:22:41 Bridge config is synchronised
2025/07/31 13:23:39 Bridge config is synchronised
2025/07/31 13:24:09 Bridge config is synchronised
2025/07/31 13:24:39 Bridge config is synchronised
2025/07/31 13:25:09 Bridge config is synchronised
2025/07/31 13:25:39 Bridge config is synchronised
2025/07/31 13:26:09 Bridge config is synchronised
2025/07/31 13:26:39 Bridge config is synchronised
2025/07/31 13:27:09 Bridge config is synchronised
2025/07/31 13:27:39 Bridge config is synchronised
2025/07/31 13:28:09 Bridge config is synchronised
2025/07/31 13:28:39 Bridge config is synchronised
2025/07/31 13:29:09 Bridge config is synchronised
2025/07/31 13:29:39 Bridge config is synchronised
2025/07/31 13:30:09 Bridge config is synchronised
2025/07/31 13:30:39 Bridge config is synchronised
2025/07/31 13:31:09 Bridge config is synchronised
2025/07/31 13:31:39 Bridge config is synchronised
2025/07/31 13:32:09 Bridge config is synchronised
2025/07/31 13:32:39 Bridge config is synchronised
2025/07/31 13:33:09 Bridge config is synchronised
2025/07/31 13:33:39 Bridge config is synchronised
2025/07/31 13:34:09 Bridge config is synchronised
2025/07/31 13:34:39 Bridge config is synchronised
2025/07/31 13:35:09 Bridge config is synchronised
2025/07/31 13:35:39 Bridge config is synchronised
2025/07/31 13:36:09 Bridge config is synchronised
2025/07/31 13:36:39 Bridge config is synchronised
2025/07/31 13:37:09 Bridge config is synchronised
2025/07/31 13:37:39 Bridge config is synchronised
2025/07/31 13:38:09 Bridge config is synchronised
2025/07/31 13:38:39 Bridge config is synchronised
2025/07/31 13:39:09 Bridge config is synchronised
2025/07/31 13:39:39 Bridge config is synchronised
2025/07/31 13:40:09 Bridge config is synchronised
2025/07/31 13:40:39 Bridge config is synchronised
2025/07/31 13:41:09 Bridge config is synchronised
2025/07/31 13:41:39 Bridge config is synchronised
2025/07/31 13:42:09 Bridge config is synchronised
2025/07/31 13:42:39 Bridge config is synchronised
2025/07/31 13:43:09 Bridge config is synchronised
2025/07/31 13:43:39 Bridge config is synchronised
2025/07/31 13:44:09 Bridge config is synchronised
2025/07/31 13:44:39 Bridge config is synchronised
2025/07/31 13:45:09 Bridge config is synchronised
2025/07/31 13:45:39 Bridge config is synchronised
2025/07/31 13:46:09 Bridge config is synchronised
2025/07/31 13:46:39 Bridge config is synchronised
2025/07/31 13:47:09 Bridge config is synchronised
2025/07/31 13:47:39 Bridge config is synchronised
2025/07/31 13:48:09 Bridge config is synchronised
2025/07/31 13:48:39 Bridge config is synchronised
2025/07/31 13:49:09 Bridge config is synchronised
2025/07/31 13:49:39 Bridge config is synchronised
2025/07/31 13:50:09 Bridge config is synchronised
2025/07/31 13:50:39 Bridge config is synchronised
2025/07/31 13:51:09 Bridge config is synchronised
2025/07/31 13:51:39 Bridge config is synchronised
2025/07/31 13:52:09 Bridge config is synchronised
2025/07/31 13:52:39 Bridge config is synchronised
2025/07/31 13:53:09 Bridge config is synchronised
2025/07/31 13:53:39 Bridge config is synchronised
2025/07/31 13:54:09 Bridge config is synchronised
2025/07/31 13:54:39 Bridge config is synchronised
2025/07/31 13:55:09 Bridge config is synchronised
2025/07/31 13:55:39 Bridge config is synchronised
2025/07/31 13:56:09 Bridge config is synchronised
2025/07/31 13:56:39 Bridge config is synchronised
2025/07/31 13:57:09 Bridge config is synchronised
2025/07/31 13:57:39 Bridge config is synchronised
2025/07/31 13:58:09 Bridge config is synchronised
2025/07/31 13:58:39 Bridge config is synchronised
2025/07/31 13:59:09 Bridge config is synchronised
2025/07/31 13:59:39 Bridge config is synchronised
2025/07/31 14:00:09 Bridge config is synchronised
2025/07/31 14:00:39 Bridge config is synchronised
2025/07/31 14:01:09 Bridge config is synchronised
