2025-08-01 13:08:20.350902+00:00 UTC
skupper-prd-dor-skupper-router-6c9d8b4d99-9pz67

Router Addresses
  class   addr                                                     distrib    pri  local  remote  in      out        thru
  ============================================================================================================================
  local   $_management_internal                                    closest    -    0      0       0       0          0
  mobile  $management                                              closest    -    0      0       14,276  0          0
  local   $management                                              closest    -    0      0       0       0          0
  mobile  30154dce-1695-472b-8dce-1f582c24acbf/skupper-site-query  balanced   -    0      1       0       0          0
  mobile  85f36ae8-19b9-49fd-833d-02e53be0ab0e/skupper-site-query  balanced   -    0      1       0       0          0
  mobile  _$qd.edge_addr_tracking                                  balanced   -    0      0       0       0          0
  mobile  _$qd.mesh_discovery                                      balanced   -    0      0       0       0          0
  mobile  mc/$skupper-service-sync                                 multicast  -    0      2       17,107  0          34,213
  mobile  mc/sfe.30154dce-1695-472b-8dce-1f582c24acbf              multicast  -    0      2       0       0          26
  mobile  mc/sfe.30154dce-1695-472b-8dce-1f582c24acbf.heartbeats   multicast  -    0      2       0       0          25
  mobile  mc/sfe.47skj:0                                           multicast  -    0      1       0       0          0
  mobile  mc/sfe.47skj:0.flows                                     multicast  -    0      1       0       0          0
  mobile  mc/sfe.85f36ae8-19b9-49fd-833d-02e53be0ab0e              multicast  -    0      2       0       0          0
  mobile  mc/sfe.85f36ae8-19b9-49fd-833d-02e53be0ab0e.heartbeats   multicast  -    0      2       0       0          0
  mobile  mc/sfe.9pz67:0                                           multicast  -    1      2       0       42,772     42,795
  mobile  mc/sfe.9pz67:0.flows                                     multicast  -    0      2       0       0          634,106
  mobile  mc/sfe.9pz67:0.logs                                      multicast  -    0      2       0       0          7
  mobile  mc/sfe.9wz2w:0                                           multicast  -    0      2       0       0          0
  mobile  mc/sfe.9wz2w:0.flows                                     multicast  -    0      2       0       0          0
  mobile  mc/sfe.9wz2w:0.logs                                      multicast  -    0      1       0       0          0
  mobile  mc/sfe.all                                               multicast  -    0      2       8,553   0          25,669
  mobile  mc/sfe.d94wd:0                                           multicast  -    1      3       0       85,482     42,749
  mobile  mc/sfe.d94wd:0.flows                                     multicast  -    1      1       0       1,406,828  703,414
  mobile  mc/sfe.d94wd:0.logs                                      multicast  -    0      2       0       0          7
  mobile  mc/sfe.dv879:0                                           multicast  -    0      2       0       0          26
  mobile  mc/sfe.dv879:0.flows                                     multicast  -    0      2       0       0          332
  mobile  mc/sfe.dv879:0.logs                                      multicast  -    0      2       0       0          0
  mobile  mc/sfe.jfhn8:0                                           multicast  -    0      2       0       0          0
  mobile  mc/sfe.jfhn8:0.flows                                     multicast  -    0      2       0       0          0
  mobile  mc/sfe.jfhn8:0.logs                                      multicast  -    0      1       0       0          0
  mobile  mc/sfe.lmzhp:0                                           multicast  -    0      2       0       0          0
  mobile  mc/sfe.lmzhp:0.flows                                     multicast  -    1      1       0       723,624    0
  mobile  mc/sfe.lmzhp:0.logs                                      multicast  -    0      2       0       0          0
  mobile  mc/sfe.w4lmh:0                                           multicast  -    0      2       0       0          0
  mobile  mc/sfe.w4lmh:0.flows                                     multicast  -    0      2       0       0          0
  mobile  mc/sfe.w4lmh:0.logs                                      multicast  -    0      1       0       0          0
  mobile  prd-mc-rs-mdb-0-0-svc:27017                              balanced   -    0      2       517     0          168
  mobile  prd-mc-rs-mdb-0-0-svc:27018                              balanced   -    0      2       6       0          6
  mobile  prd-mc-rs-mdb-0-1-svc:27017                              balanced   -    0      2       523     0          135
  mobile  prd-mc-rs-mdb-0-1-svc:27018                              balanced   -    0      2       6       0          6
  mobile  prd-mc-rs-mdb-1-0-svc:27017                              balanced   -    1      1       2,251   1,197      1,127
  mobile  prd-mc-rs-mdb-1-0-svc:27018                              balanced   -    1      1       8       8          0
  local   qdhello                                                  flood      -    2      0       0       0          0
  local   qdrouter                                                 flood      -    0      0       0       0          0
  topo    qdrouter                                                 flood      -    0      3       0       0          17,205
  local   qdrouter.ma                                              multicast  -    0      0       0       0          0
  topo    qdrouter.ma                                              multicast  -    0      3       0       0          24
  mobile  sfe.30154dce-1695-472b-8dce-1f582c24acbf                 balanced   -    0      1       0       0          0
  mobile  sfe.85f36ae8-19b9-49fd-833d-02e53be0ab0e                 balanced   -    0      1       0       0          0
  mobile  sfe.9pz67:0                                              closest    -    0      0       1       0          0
  mobile  sfe.d94wd:0                                              closest    -    0      1       0       0          2
  mobile  sfe.dv879:0                                              closest    -    0      1       0       0          0
