2025-08-01 13:08:16.671532+00:00 UTC
skupper-prd-dor-skupper-router-6c9d8b4d99-9pz67

Router Statistics
  attr                             value
  ==================================================================================
  Version                          2.7.1-rh-1
  Mode                             interior
  Router Id                        skupper-prd-dor-skupper-router-6c9d8b4d99-9pz67
  Worker Threads                   4
  Uptime                           000:23:45:15
  VmSize                           556 MiB
  RSS                              128 MiB
  Area                             0
  Auto Links                       0
  Links                            1672
  Nodes                            3
  Addresses                        184
  Total Connections                298
  Presettled Count                 9889
  Dropped Presettled Count         5
  Accepted Count                   50022
  Rejected Count                   0
  Released Count                   1344
  Modified Count                   1013
  Deliveries Delayed > 1sec        1
  Deliveries Delayed > 10sec       0
  Deliveries Stuck > 10sec         0
  Links Blocked                    0
  Ingress Count                    45822
  Egress Count                     2274335
  Transit Count                    1483394
  Deliveries from Route Container  0
  Deliveries to Route Container    0
  TCP Service Connections          283
  AMQP Service Connections         9
  HTTP1 Service Connections        0
  HTTP2 Service Connections        0
