2025-08-01 13:08:20.888905+00:00 UTC
skupper-prd-dor-skupper-router-6c9d8b4d99-9pz67

Memory Pools
  type                        size    batch  thread-max  total  in-threads  rebal-in  rebal-out
  ===============================================================================================
  qd_adaptor_buffer_t         16,408  16     32          2,320  2,304       313       314
  qd_adaptor_config_t         72      64     128         64     64          0         0
  qd_adaptor_listener_t       160     64     128         64     64          0         0
  qd_bitmask_t                24      64     128         1,088  960         38,067    38,069
  qd_buffer_t                 4,096   16     32          2,032  1,936       544,529   544,535
  qd_composed_field_t         48      64     128         448    448         0         0
  qd_composite_t              112     64     128         448    448         0         0
  qd_connection_t             2,664   16     32          112    80          135       137
  qd_connector_t              752     64     128         64     64          0         0
  qd_delivery_state_t         48      64     128         384    320         26        27
  qd_hash_handle_t            16      64     128         384    384         0         0
  qd_hash_item_t              40      64     128         384    384         0         0
  qd_iterator_t               128     64     128         2,304  2,112       49,532    49,535
  qd_link_ref_t               24      64     128         1,344  1,280       5         6
  qd_link_t                   136     64     128         1,280  1,280       2         2
  qd_listener_t               360     64     128         64     64          0         0
  qd_log_entry_t              2,112   16     32          400    400         0         0
  qd_management_context_t     56      64     128         192    192         0         0
  qd_message_content_t        1,400   64     128         1,344  1,216       11,152    11,154
  qd_message_stream_data_t    120     64     128         320    256         3         4
  qd_message_t                104     64     128         2,176  2,112       63,264    63,265
  qd_node_t                   56      64     128         64     64          0         0
  qd_parse_node_t             104     64     128         128    128         0         0
  qd_parse_tree_t             24      64     128         64     64          0         0
  qd_parsed_field_t           136     64     128         2,688  2,560       55,670    55,672
  qd_session_t                48      64     128         256    256         0         0
  qd_tcp_adaptor_config_t     16      64     128         64     64          0         0
  qd_tcp_connector_t          144     64     128         64     64          0         0
  qd_tcp_listener_t           144     64     128         64     64          0         0
  qd_timer_t                  112     64     128         64     64          0         0
  qdr_action_t                136     64     128         576    320         671,835   671,839
  qdr_address_config_t        72      64     128         64     64          0         0
  qdr_address_t               392     64     128         256    256         0         0
  qdr_address_watch_t         72      64     128         64     64          0         0
  qdr_connection_info_t       144     64     128         640    576         17        18
  qdr_connection_ref_t        24      64     128         64     64          0         0
  qdr_connection_t            584     64     128         640    576         17        18
  qdr_connection_work_t       56      64     128         512    448         63        64
  qdr_core_timer_t            40      64     128         64     64          0         0
  qdr_delivery_cleanup_t      32      64     128         576    448         100,414   100,416
  qdr_delivery_ref_t          24      64     128         512    384         2,411     2,413
  qdr_delivery_t              400     64     128         1,920  1,856       38,703    38,704
  qdr_field_t                 32      64     128         448    256         12,525    12,528
  qdr_forward_deliver_info_t  32      64     128         64     64          0         0
  qdr_general_work_t          160     64     128         512    448         79,217    79,218
  qdr_link_ref_t              24      64     128         2,624  2,560       343,585   343,586
  qdr_link_t                  528     64     128         2,048  1,984       33        34
  qdr_link_work_t             48      64     128         1,344  1,216       81,423    81,425
  qdr_node_t                  88      64     128         64     64          0         0
  qdr_query_t                 344     64     128         256    256         0         0
  qdr_tcp_connection_ref_t    24      64     128         320    320         1         1
  qdr_tcp_connection_t        2,480   16     32          368    352         77        78
  qdr_tcp_stats_t             72      64     128         64     64          0         0
  qdr_terminus_t              64      64     128         384    384         1         1
  qdtm_router_t               16      64     128         128    128         0         0
  vflow_attribute_data_t      32      64     128         3,136  2,944       43        46
  vflow_rate_t                112     64     128         320    320         1         1
  vflow_record_t              160     64     128         704    576         17        19
  vflow_work_t                56      64     128         448    256         210,325   210,328

Memory Summary
  VmSize   RSS      Pooled
  ============================
  556 MiB  128 MiB  52.4 MiB
