2025-08-01 13:08:25.629286+00:00 UTC
skupper-prd-dor-skupper-router-6c9d8b4d99-dv879

Router Addresses
  class   addr                                                     distrib    pri  local  remote  in      out      thru
  ============================================================================================================================
  local   $_management_internal                                    closest    -    0      0       0       0        0
  mobile  $management                                              closest    -    0      0       14,282  0        0
  local   $management                                              closest    -    0      0       0       0        0
  mobile  30154dce-1695-472b-8dce-1f582c24acbf/skupper-site-query  balanced   -    1      0       0       0        0
  mobile  85f36ae8-19b9-49fd-833d-02e53be0ab0e/skupper-site-query  balanced   -    0      1       0       0        0
  mobile  _$qd.edge_addr_tracking                                  balanced   -    0      0       0       0        0
  mobile  _$qd.mesh_discovery                                      balanced   -    0      0       0       0        0
  mobile  mc/$skupper-service-sync                                 multicast  -    1      1       0       51,323   34,226
  mobile  mc/sfe.30154dce-1695-472b-8dce-1f582c24acbf              multicast  -    2      1       20,557  41,136   20,630
  mobile  mc/sfe.30154dce-1695-472b-8dce-1f582c24acbf.heartbeats   multicast  -    2      1       42,772  85,556   42,832
  mobile  mc/sfe.47skj:0                                           multicast  -    1      0       0       0        0
  mobile  mc/sfe.47skj:0.flows                                     multicast  -    1      0       0       0        0
  mobile  mc/sfe.85f36ae8-19b9-49fd-833d-02e53be0ab0e              multicast  -    2      1       0       65,798   59
  mobile  mc/sfe.85f36ae8-19b9-49fd-833d-02e53be0ab0e.heartbeats   multicast  -    2      1       0       85,548   56
  mobile  mc/sfe.9pz67:0                                           multicast  -    1      2       0       42,796   42,771
  mobile  mc/sfe.9pz67:0.flows                                     multicast  -    1      1       0       634,145  633,821
  mobile  mc/sfe.9pz67:0.logs                                      multicast  -    1      1       0       7        5
  mobile  mc/sfe.9wz2w:0                                           multicast  -    2      1       0       4        2
  mobile  mc/sfe.9wz2w:0.flows                                     multicast  -    1      1       0       0        0
  mobile  mc/sfe.9wz2w:0.logs                                      multicast  -    1      0       0       0        0
  mobile  mc/sfe.all                                               multicast  -    2      1       0       119,776  34,263
  mobile  mc/sfe.d94wd:0                                           multicast  -    1      3       0       85,488   85,473
  mobile  mc/sfe.d94wd:0.flows                                     multicast  -    0      2       0       0        1,406,922
  mobile  mc/sfe.d94wd:0.logs                                      multicast  -    1      1       0       14       7
  mobile  mc/sfe.dv879:0                                           multicast  -    2      1       0       85,565   42,864
  mobile  mc/sfe.dv879:0.flows                                     multicast  -    1      1       0       636,536  637,572
  mobile  mc/sfe.dv879:0.logs                                      multicast  -    1      1       0       13       13
  mobile  mc/sfe.jfhn8:0                                           multicast  -    2      1       0       69       34
  mobile  mc/sfe.jfhn8:0.flows                                     multicast  -    1      1       0       1,382    1,381
  mobile  mc/sfe.jfhn8:0.logs                                      multicast  -    1      0       0       2        0
  mobile  mc/sfe.lmzhp:0                                           multicast  -    2      1       0       85,534   32
  mobile  mc/sfe.lmzhp:0.flows                                     multicast  -    0      2       0       0        723,464
  mobile  mc/sfe.lmzhp:0.logs                                      multicast  -    1      1       0       12       0
  mobile  mc/sfe.w4lmh:0                                           multicast  -    2      1       0       30       15
  mobile  mc/sfe.w4lmh:0.flows                                     multicast  -    1      1       0       145      144
  mobile  mc/sfe.w4lmh:0.logs                                      multicast  -    1      0       0       1        0
  mobile  prd-mc-rs-mdb-0-0-svc:27017                              balanced   -    0      2       566     0        233
  mobile  prd-mc-rs-mdb-0-0-svc:27018                              balanced   -    0      2       6       0        6
  mobile  prd-mc-rs-mdb-0-1-svc:27017                              balanced   -    0      2       577     0        197
  mobile  prd-mc-rs-mdb-0-1-svc:27018                              balanced   -    0      2       6       0        6
  mobile  prd-mc-rs-mdb-1-0-svc:27017                              balanced   -    1      1       2,571   1,480    1,165
  mobile  prd-mc-rs-mdb-1-0-svc:27018                              balanced   -    1      1       8       8        0
  local   qdhello                                                  flood      -    2      0       0       0        0
  local   qdrouter                                                 flood      -    0      0       0       0        0
  topo    qdrouter                                                 flood      -    0      3       0       0        17,285
  local   qdrouter.ma                                              multicast  -    0      0       0       0        0
  topo    qdrouter.ma                                              multicast  -    0      3       0       0        37
  mobile  sfe.30154dce-1695-472b-8dce-1f582c24acbf                 balanced   -    1      0       1       1        1
  mobile  sfe.85f36ae8-19b9-49fd-833d-02e53be0ab0e                 balanced   -    0      1       1       0        1
  mobile  sfe.9pz67:0                                              closest    -    0      1       1       0        2
  mobile  sfe.d94wd:0                                              closest    -    0      1       2       0        2
