2025-08-01 13:08:26.163506+00:00 UTC
skupper-prd-dor-skupper-router-6c9d8b4d99-dv879

Memory Pools
  type                        size    batch  thread-max  total  in-threads  rebal-in  rebal-out
  ===============================================================================================
  qd_adaptor_buffer_t         16,408  16     32          2,480  2,448       612       614
  qd_adaptor_config_t         72      64     128         64     64          0         0
  qd_adaptor_listener_t       160     64     128         64     64          0         0
  qd_bitmask_t                24      64     128         1,152  960         51,689    51,692
  qd_buffer_t                 4,096   16     32          2,064  1,936       510,924   510,932
  qd_composed_field_t         48      64     128         448    448         0         0
  qd_composite_t              112     64     128         448    448         0         0
  qd_connection_t             2,664   16     32          144    112         235       237
  qd_connector_t              752     64     128         64     64          0         0
  qd_delivery_state_t         48      64     128         384    384         20        20
  qd_hash_handle_t            16      64     128         512    512         0         0
  qd_hash_item_t              40      64     128         512    512         0         0
  qd_iterator_t               128     64     128         2,240  2,048       53,159    53,162
  qd_link_ref_t               24      64     128         1,344  1,280       22        23
  qd_link_t                   136     64     128         1,280  1,280       5         5
  qd_listener_t               360     64     128         64     64          0         0
  qd_log_entry_t              2,112   16     32          528    528         0         0
  qd_management_context_t     56      64     128         256    256         0         0
  qd_message_content_t        1,400   64     128         1,344  1,088       11,569    11,573
  qd_message_stream_data_t    120     64     128         320    320         7         7
  qd_message_t                104     64     128         2,240  2,048       94,290    94,293
  qd_node_t                   56      64     128         64     64          0         0
  qd_parse_node_t             104     64     128         128    128         0         0
  qd_parse_tree_t             24      64     128         64     64          0         0
  qd_parsed_field_t           136     64     128         2,688  2,560       63,666    63,668
  qd_pn_free_link_session_t   32      64     128         128    128         0         0
  qd_session_t                48      64     128         256    256         0         0
  qd_tcp_adaptor_config_t     16      64     128         64     64          0         0
  qd_tcp_connector_t          144     64     128         64     64          0         0
  qd_tcp_listener_t           144     64     128         64     64          0         0
  qd_timer_t                  112     64     128         64     64          0         0
  qdr_action_t                136     64     128         768    320         758,035   758,042
  qdr_address_config_t        72      64     128         64     64          0         0
  qdr_address_t               392     64     128         320    320         0         0
  qdr_address_watch_t         72      64     128         64     64          0         0
  qdr_connection_info_t       144     64     128         704    640         25        26
  qdr_connection_ref_t        24      64     128         64     64          0         0
  qdr_connection_t            584     64     128         704    640         25        26
  qdr_connection_work_t       56      64     128         512    448         84        85
  qdr_core_timer_t            40      64     128         64     64          0         0
  qdr_delivery_cleanup_t      32      64     128         640    448         145,671   145,674
  qdr_delivery_ref_t          24      64     128         512    384         3,546     3,548
  qdr_delivery_t              400     64     128         1,984  1,792       52,919    52,922
  qdr_field_t                 32      64     128         512    320         12,570    12,573
  qdr_forward_deliver_info_t  32      64     128         64     64          0         0
  qdr_general_work_t          160     64     128         576    448         112,817   112,819
  qdr_link_ref_t              24      64     128         2,816  2,688       382,953   382,955
  qdr_link_t                  528     64     128         2,112  1,920       50        53
  qdr_link_work_t             48      64     128         1,344  1,216       123,120   123,122
  qdr_node_t                  88      64     128         64     64          0         0
  qdr_query_t                 344     64     128         320    320         0         0
  qdr_tcp_connection_ref_t    24      64     128         320    320         2         2
  qdr_tcp_connection_t        2,480   16     32          384    352         106       108
  qdr_tcp_stats_t             72      64     128         64     64          0         0
  qdr_terminus_t              64      64     128         448    384         2         3
  qdtm_router_t               16      64     128         192    192         0         0
  vflow_attribute_data_t      32      64     128         3,136  3,136       79        79
  vflow_rate_t                112     64     128         320    320         2         2
  vflow_record_t              160     64     128         704    640         26        27
  vflow_work_t                56      64     128         384    256         208,161   208,163

Memory Summary
  VmSize   RSS      Pooled
  ============================
  583 MiB  137 MiB  55.6 MiB
