2025/07/31 13:23:21 CONFIG_SYNC: Version: 1.8.1-rh-1
2025/07/31 13:23:21 CONFIG_SYNC: Waiting for Skupper router to be ready
2025/07/31 13:23:26 CONFIG_SYNC: Starting collector...
2025/07/31 13:23:26 CONFIG_SYNC: Claim verifier started
2025/07/31 13:23:26 CONFIG_SYNC: Creating ConfigMap informer...
2025/07/31 13:23:26 CONFIG_SYNC: Waiting for informer to sync...
2025/07/31 13:23:26 Claim verifier listening on :8081
I0731 13:23:26.977674       1 leaderelection.go:243] attempting to acquire leader lease silm-mongodb/skupper-site-leader...
2025/07/31 13:23:26 COLLECTOR: New leader for site collection is skupper-router-78979fc89c-jfhn8
2025/07/31 13:23:27 CONFIG_SYNC: Starting sync controller loop...
2025/07/31 13:23:27 Bridge config is synchronised
2025/07/31 13:23:48 COLLECTOR: New leader for site collection is skupper-router-7f4bf489d5-lmzhp
2025/07/31 13:24:26 Bridge config is synchronised
2025/07/31 13:24:56 Bridge config is synchronised
2025/07/31 13:25:27 Bridge config is synchronised
2025/07/31 13:25:57 Bridge config is synchronised
2025/07/31 13:26:27 Bridge config is synchronised
2025/07/31 13:26:57 Bridge config is synchronised
2025/07/31 13:27:27 Bridge config is synchronised
2025/07/31 13:27:57 Bridge config is synchronised
2025/07/31 13:28:27 Bridge config is synchronised
2025/07/31 13:28:57 Bridge config is synchronised
2025/07/31 13:29:27 Bridge config is synchronised
2025/07/31 13:29:57 Bridge config is synchronised
2025/07/31 13:30:27 Bridge config is synchronised
2025/07/31 13:30:57 Bridge config is synchronised
2025/07/31 13:31:27 Bridge config is synchronised
2025/07/31 13:31:57 Bridge config is synchronised
2025/07/31 13:32:27 Bridge config is synchronised
2025/07/31 13:32:57 Bridge config is synchronised
2025/07/31 13:33:27 Bridge config is synchronised
2025/07/31 13:33:57 Bridge config is synchronised
2025/07/31 13:34:27 Bridge config is synchronised
2025/07/31 13:34:57 Bridge config is synchronised
2025/07/31 13:35:27 Bridge config is synchronised
2025/07/31 13:35:57 Bridge config is synchronised
2025/07/31 13:36:27 Bridge config is synchronised
2025/07/31 13:36:57 Bridge config is synchronised
2025/07/31 13:37:27 Bridge config is synchronised
2025/07/31 13:37:57 Bridge config is synchronised
2025/07/31 13:38:27 Bridge config is synchronised
2025/07/31 13:38:57 Bridge config is synchronised
2025/07/31 13:39:27 Bridge config is synchronised
2025/07/31 13:39:57 Bridge config is synchronised
2025/07/31 13:40:27 Bridge config is synchronised
2025/07/31 13:40:57 Bridge config is synchronised
2025/07/31 13:41:27 Bridge config is synchronised
2025/07/31 13:41:57 Bridge config is synchronised
2025/07/31 13:42:27 Bridge config is synchronised
2025/07/31 13:42:57 Bridge config is synchronised
2025/07/31 13:43:27 Bridge config is synchronised
2025/07/31 13:43:57 Bridge config is synchronised
2025/07/31 13:44:27 Bridge config is synchronised
2025/07/31 13:44:57 Bridge config is synchronised
2025/07/31 13:45:27 Bridge config is synchronised
2025/07/31 13:45:57 Bridge config is synchronised
2025/07/31 13:46:27 Bridge config is synchronised
2025/07/31 13:46:57 Bridge config is synchronised
2025/07/31 13:47:27 Bridge config is synchronised
2025/07/31 13:47:57 Bridge config is synchronised
2025/07/31 13:48:27 Bridge config is synchronised
2025/07/31 13:48:57 Bridge config is synchronised
2025/07/31 13:49:27 Bridge config is synchronised
2025/07/31 13:49:57 Bridge config is synchronised
2025/07/31 13:50:27 Bridge config is synchronised
2025/07/31 13:50:57 Bridge config is synchronised
2025/07/31 13:51:27 Bridge config is synchronised
2025/07/31 13:51:57 Bridge config is synchronised
2025/07/31 13:52:27 Bridge config is synchronised
2025/07/31 13:52:57 Bridge config is synchronised
2025/07/31 13:53:27 Bridge config is synchronised
2025/07/31 13:53:57 Bridge config is synchronised
2025/07/31 13:54:27 Bridge config is synchronised
2025/07/31 13:54:57 Bridge config is synchronised
2025/07/31 13:55:27 Bridge config is synchronised
2025/07/31 13:55:57 Bridge config is synchronised
2025/07/31 13:56:27 Bridge config is synchronised
2025/07/31 13:56:57 Bridge config is synchronised
2025/07/31 13:57:27 Bridge config is synchronised
2025/07/31 13:57:57 Bridge config is synchronised
2025/07/31 13:58:27 Bridge config is synchronised
2025/07/31 13:58:57 Bridge config is synchronised
2025/07/31 13:59:27 Bridge config is synchronised
2025/07/31 13:59:57 Bridge config is synchronised
2025/07/31 14:00:27 Bridge config is synchronised
2025/07/31 14:00:57 Bridge config is synchronised
2025/07/31 14:01:27 Bridge config is synchronised
2025/07/31 14:01:57 Bridge config is synchronised
2025/07/31 14:02:27 Bridge config is synchronised
2025/07/31 14:02:57 Bridge config is synchronised
2025/07/31 14:03:27 Bridge config is synchronised
2025/07/31 14:03:57 Bridge config is synchronised
2025/07/31 14:04:27 Bridge config is synchronised
