2025-08-01 13:07:17.164477+00:00 UTC
skupper-prd-wyn-skupper-router-7f4bf489d5-d94wd

Memory Pools
  type                        size    batch  thread-max  total  in-threads  rebal-in  rebal-out
  ===============================================================================================
  qd_adaptor_buffer_t         16,408  16     32          2,912  2,880       328       330
  qd_adaptor_config_t         72      64     128         64     64          0         0
  qd_adaptor_listener_t       160     64     128         64     64          0         0
  qd_bitmask_t                24      64     128         960    832         2,953     2,955
  qd_buffer_t                 4,096   16     32          1,520  1,392       348,827   348,835
  qd_composed_field_t         48      64     128         448    448         0         0
  qd_composite_t              112     64     128         448    448         0         0
  qd_connection_t             2,664   16     32          112    64          138       141
  qd_connector_t              752     64     128         64     64          0         0
  qd_delivery_state_t         48      64     128         448    320         23        25
  qd_hash_handle_t            16      64     128         384    384         0         0
  qd_hash_item_t              40      64     128         384    384         0         0
  qd_iterator_t               128     64     128         1,664  1,472       13,769    13,772
  qd_link_ref_t               24      64     128         960    896         3         4
  qd_link_t                   136     64     128         832    832         0         0
  qd_listener_t               360     64     128         64     64          0         0
  qd_log_entry_t              2,112   16     32          368    368         0         0
  qd_management_context_t     56      64     128         192    192         0         0
  qd_message_content_t        1,400   64     128         1,280  1,152       11,771    11,773
  qd_message_stream_data_t    120     64     128         320    320         3         3
  qd_message_t                104     64     128         1,920  1,792       29,511    29,513
  qd_node_t                   56      64     128         64     64          0         0
  qd_parse_node_t             104     64     128         128    128         0         0
  qd_parse_tree_t             24      64     128         64     64          0         0
  qd_parsed_field_t           136     64     128         1,920  1,920       1,274     1,274
  qd_session_t                48      64     128         256    256         0         0
  qd_tcp_adaptor_config_t     16      64     128         64     64          0         0
  qd_tcp_connector_t          144     64     128         64     64          0         0
  qd_tcp_listener_t           144     64     128         64     64          0         0
  qd_timer_t                  112     64     128         64     64          0         0
  qdr_action_t                136     64     128         512    192         467,586   467,591
  qdr_address_config_t        72      64     128         64     64          0         0
  qdr_address_t               392     64     128         320    320         0         0
  qdr_address_watch_t         72      64     128         64     64          0         0
  qdr_connection_info_t       144     64     128         704    704         28        28
  qdr_connection_ref_t        24      64     128         64     64          0         0
  qdr_connection_t            584     64     128         704    704         28        28
  qdr_connection_work_t       56      64     128         512    448         74        75
  qdr_core_timer_t            40      64     128         64     64          0         0
  qdr_delivery_cleanup_t      32      64     128         512    384         31,440    31,442
  qdr_delivery_ref_t          24      64     128         512    384         1,464     1,466
  qdr_delivery_t              400     64     128         1,664  1,536       3,466     3,468
  qdr_field_t                 32      64     128         576    320         13,595    13,599
  qdr_forward_deliver_info_t  32      64     128         64     64          0         0
  qdr_general_work_t          160     64     128         512    384         25,140    25,142
  qdr_link_ref_t              24      64     128         2,496  2,432       277,705   277,706
  qdr_link_t                  528     64     128         1,792  1,728       52        53
  qdr_link_work_t             48      64     128         1,216  1,088       30,202    30,204
  qdr_node_t                  88      64     128         64     64          0         0
  qdr_query_t                 344     64     128         256    256         0         0
  qdr_tcp_connection_ref_t    24      64     128         384    384         0         0
  qdr_tcp_connection_t        2,480   16     32          448    432         116       117
  qdr_tcp_stats_t             72      64     128         64     64          0         0
  qdr_terminus_t              64      64     128         384    384         0         0
  qdtm_router_t               16      64     128         64     64          0         0
  vflow_attribute_data_t      32      64     128         3,712  3,648       15        16
  vflow_rate_t                112     64     128         384    384         0         0
  vflow_record_t              160     64     128         768    704         27        28
  vflow_work_t                56      64     128         448    320         244,805   244,807

Memory Summary
  VmSize   RSS       Pooled
  =============================
  548 MiB  78.2 MiB  59.3 MiB
