2025-08-01 13:07:21.790481+00:00 UTC
skupper-prd-wyn-skupper-router-7f4bf489d5-lmzhp

Memory Pools
  type                        size    batch  thread-max  total  in-threads  rebal-in  rebal-out
  ===============================================================================================
  qd_adaptor_buffer_t         16,408  16     32          3,056  3,008       480       483
  qd_adaptor_config_t         72      64     128         64     64          0         0
  qd_adaptor_listener_t       160     64     128         64     64          0         0
  qd_bitmask_t                24      64     128         1,024  896         49,888    49,890
  qd_buffer_t                 4,096   16     32          1,488  1,392       357,133   357,139
  qd_composed_field_t         48      64     128         448    448         0         0
  qd_composite_t              112     64     128         448    448         0         0
  qd_connection_t             2,664   16     32          144    96          258       261
  qd_connector_t              752     64     128         64     64          0         0
  qd_delivery_state_t         48      64     128         384    384         24        24
  qd_hash_handle_t            16      64     128         512    512         0         0
  qd_hash_item_t              40      64     128         512    512         0         0
  qd_iterator_t               128     64     128         1,664  1,536       54,461    54,463
  qd_link_ref_t               24      64     128         960    832         15        17
  qd_link_t                   136     64     128         960    960         7         7
  qd_listener_t               360     64     128         64     64          0         0
  qd_log_entry_t              2,112   16     32          448    448         0         0
  qd_management_context_t     56      64     128         256    256         0         0
  qd_message_content_t        1,400   64     128         1,216  1,088       12,616    12,618
  qd_message_stream_data_t    120     64     128         320    256         3         4
  qd_message_t                104     64     128         1,920  1,792       95,660    95,662
  qd_node_t                   56      64     128         64     64          0         0
  qd_parse_node_t             104     64     128         128    128         0         0
  qd_parse_tree_t             24      64     128         64     64          0         0
  qd_parsed_field_t           136     64     128         1,920  1,792       62,391    62,393
  qd_session_t                48      64     128         256    256         0         0
  qd_tcp_adaptor_config_t     16      64     128         64     64          0         0
  qd_tcp_connector_t          144     64     128         64     64          0         0
  qd_tcp_listener_t           144     64     128         64     64          0         0
  qd_timer_t                  112     64     128         64     64          0         0
  qdr_action_t                136     64     128         512    384         654,040   654,042
  qdr_address_config_t        72      64     128         64     64          0         0
  qdr_address_t               392     64     128         384    384         0         0
  qdr_address_watch_t         72      64     128         64     64          0         0
  qdr_connection_info_t       144     64     128         768    640         31        33
  qdr_connection_ref_t        24      64     128         64     64          0         0
  qdr_connection_t            584     64     128         768    640         31        33
  qdr_connection_work_t       56      64     128         512    512         92        92
  qdr_core_timer_t            40      64     128         64     64          0         0
  qdr_delivery_cleanup_t      32      64     128         1,088  384         145,565   145,576
  qdr_delivery_ref_t          24      64     128         512    448         2,700     2,701
  qdr_delivery_t              400     64     128         1,728  1,536       51,455    51,458
  qdr_field_t                 32      64     128         640    320         13,909    13,914
  qdr_forward_deliver_info_t  32      64     128         64     64          0         0
  qdr_general_work_t          160     64     128         640    384         113,812   113,816
  qdr_link_ref_t              24      64     128         2,688  2,560       352,085   352,087
  qdr_link_t                  528     64     128         1,856  1,728       67        69
  qdr_link_work_t             48      64     128         1,216  1,024       125,373   125,376
  qdr_node_t                  88      64     128         64     64          0         0
  qdr_query_t                 344     64     128         320    320         0         0
  qdr_tcp_connection_ref_t    24      64     128         384    384         2         2
  qdr_tcp_connection_t        2,480   16     32          464    464         135       135
  qdr_tcp_stats_t             72      64     128         64     64          0         0
  qdr_terminus_t              64      64     128         448    384         0         1
  qdtm_router_t               16      64     128         128    128         0         0
  vflow_attribute_data_t      32      64     128         3,776  3,712       73        74
  vflow_rate_t                112     64     128         384    384         3         3
  vflow_record_t              160     64     128         832    768         32        33
  vflow_work_t                56      64     128         448    320         231,322   231,324

Memory Summary
  VmSize   RSS       Pooled
  =============================
  551 MiB  85.1 MiB  61.9 MiB
