2025-08-05 18:24:10.927036+00:00 UTC
skupper-prd-dor-skupper-router-6c9d8b4d99-dv879

Router Addresses
  class   addr                                                     distrib    pri  local  remote  in       out        thru
  ===============================================================================================================================
  local   $_management_internal                                    closest    -    0      0       0        0          0
  mobile  $management                                              closest    -    0      0       75,084   0          0
  local   $management                                              closest    -    0      0       42       0          0
  mobile  30154dce-1695-472b-8dce-1f582c24acbf/skupper-site-query  balanced   -    1      0       4        8          0
  mobile  85f36ae8-19b9-49fd-833d-02e53be0ab0e/skupper-site-query  balanced   -    0      1       4        0          4
  mobile  _$qd.edge_addr_tracking                                  balanced   -    0      0       0        0          0
  mobile  _$qd.mesh_discovery                                      balanced   -    0      0       0        0          0
  mobile  mc/$skupper-service-sync                                 multicast  -    1      1       1,705    268,348    178,334
  mobile  mc/sfe.30154dce-1695-472b-8dce-1f582c24acbf              multicast  -    2      1       106,781  213,581    106,852
  mobile  mc/sfe.30154dce-1695-472b-8dce-1f582c24acbf.heartbeats   multicast  -    2      1       225,045  408,563    266,630
  mobile  mc/sfe.85f36ae8-19b9-49fd-833d-02e53be0ab0e              multicast  -    2      1       0        371,437    12,930
  mobile  mc/sfe.85f36ae8-19b9-49fd-833d-02e53be0ab0e.heartbeats   multicast  -    2      1       0        450,242    128
  mobile  mc/sfe.9pz67:0                                           multicast  -    2      0       0        295,485    220,764
  mobile  mc/sfe.9pz67:0.flows                                     multicast  -    1      0       0        3,358,300  2,944,097
  mobile  mc/sfe.9pz67:0.logs                                      multicast  -    1      0       0        13         10
  mobile  mc/sfe.9wz2w:0                                           multicast  -    1      0       0        4          2
  mobile  mc/sfe.9wz2w:0.logs                                      multicast  -    1      0       0        0          0
  mobile  mc/sfe.all                                               multicast  -    2      1       852      625,113    178,422
  mobile  mc/sfe.d94wd:0                                           multicast  -    2      1       0        450,034    441,472
  mobile  mc/sfe.d94wd:0.flows                                     multicast  -    1      0       0        1,034,549  6,163,132
  mobile  mc/sfe.d94wd:0.logs                                      multicast  -    1      1       0        81         36
  mobile  mc/sfe.dv879:0                                           multicast  -    2      1       0        450,107    225,121
  mobile  mc/sfe.dv879:0.flows                                     multicast  -    1      0       0        3,515,545  3,034,988
  mobile  mc/sfe.dv879:0.logs                                      multicast  -    1      1       0        36         33
  mobile  mc/sfe.jfhn8:0                                           multicast  -    1      0       0        69         34
  mobile  mc/sfe.jfhn8:0.logs                                      multicast  -    1      0       0        2          0
  mobile  mc/sfe.lmzhp:0                                           multicast  -    2      0       0        441,510    32
  mobile  mc/sfe.lmzhp:0.flows                                     multicast  -    1      0       0        0          4,075,341
  mobile  mc/sfe.lmzhp:0.logs                                      multicast  -    1      0       0        41         0
  mobile  mc/sfe.w4lmh:0                                           multicast  -    1      0       0        30         15
  mobile  mc/sfe.w4lmh:0.logs                                      multicast  -    1      0       0        1          0
  mobile  prd-mc-rs-mdb-0-0-svc:27017                              balanced   -    0      1       3,005    0          2,432
  mobile  prd-mc-rs-mdb-0-0-svc:27018                              balanced   -    0      1       6        0          6
  mobile  prd-mc-rs-mdb-0-1-svc:27017                              balanced   -    0      1       8,402    0          7,772
  mobile  prd-mc-rs-mdb-0-1-svc:27018                              balanced   -    0      1       6        0          6
  mobile  prd-mc-rs-mdb-1-0-svc:27017                              balanced   -    1      0       34,129   22,820     11,609
  mobile  prd-mc-rs-mdb-1-0-svc:27018                              balanced   -    1      0       8        8          0
  local   qdhello                                                  flood      -    1      0       0        0          0
  local   qdrouter                                                 flood      -    0      0       0        0          0
  topo    qdrouter                                                 flood      -    0      1       0        0          88,791
  local   qdrouter.ma                                              multicast  -    0      0       0        0          0
  topo    qdrouter.ma                                              multicast  -    0      1       0        0          78
  mobile  sfe.30154dce-1695-472b-8dce-1f582c24acbf                 balanced   -    1      0       2        4          1
  mobile  sfe.85f36ae8-19b9-49fd-833d-02e53be0ab0e                 balanced   -    0      1       2        0          2
  mobile  sfe.d94wd:0                                              closest    -    0      1       2        0          2
  mobile  sfe.dv879:0                                              closest    -    0      0       1        0          0
  router  skupper-prd-wyn-skupper-router-7f4bf489d5-d94wd          closest    -    0      1       4,044    0          4,109
  local   temp.++LtMpcRbWhHprX                                     balanced   -    1      0       1        1          0
  local   temp.+CAEbfK4Tb+tZT8                                     balanced   -    1      0       1        1          0
  local   temp.+Cep4Tysp1mn135                                     balanced   -    1      0       1        1          0
