2025-08-05 18:23:01.036751+00:00 UTC
skupper-prd-wyn-skupper-router-7f4bf489d5-d94wd

Router Addresses
  class   addr                                                     distrib    pri  local  remote  in      out      thru
  ============================================================================================================================
  local   $_management_internal                                    closest    -    0      0       0       0        0
  mobile  $management                                              closest    -    0      0       75,059  0        0
  local   $management                                              closest    -    0      0       42      0        0
  mobile  30154dce-1695-472b-8dce-1f582c24acbf/skupper-site-query  balanced   -    0      1       4       0        4
  mobile  85f36ae8-19b9-49fd-833d-02e53be0ab0e/skupper-site-query  balanced   -    1      0       4       4        2
  mobile  _$qd.edge_addr_tracking                                  balanced   -    0      0       0       0        0
  mobile  _$qd.mesh_discovery                                      balanced   -    0      0       0       0        0
  mobile  mc/$skupper-service-sync                                 multicast  -    1      1       89,994  3,396    178,298
  mobile  mc/sfe.30154dce-1695-472b-8dce-1f582c24acbf              multicast  -    1      1       0       2,144    6
  mobile  mc/sfe.30154dce-1695-472b-8dce-1f582c24acbf.heartbeats   multicast  -    1      1       0       37,380   16,576
  mobile  mc/sfe.85f36ae8-19b9-49fd-833d-02e53be0ab0e              multicast  -    1      1       3,253   28,962   16,130
  mobile  mc/sfe.85f36ae8-19b9-49fd-833d-02e53be0ab0e.heartbeats   multicast  -    1      1       4,240   4,376    4,320
  mobile  mc/sfe.9pz67:0                                           multicast  -    0      1       0       33,150   16,576
  mobile  mc/sfe.9pz67:0.flows                                     multicast  -    0      1       0       0        7
  mobile  mc/sfe.9pz67:0.logs                                      multicast  -    0      1       0       0        0
  mobile  mc/sfe.9wz2w:0                                           multicast  -    0      1       0       0        0
  mobile  mc/sfe.9wz2w:0.logs                                      multicast  -    0      1       0       0        0
  mobile  mc/sfe.all                                               multicast  -    1      1       847     3,542    90,080
  mobile  mc/sfe.d94wd:0                                           multicast  -    1      1       0       200,037  445,733
  mobile  mc/sfe.d94wd:0.flows                                     multicast  -    0      1       0       351,173  7,196,739
  mobile  mc/sfe.d94wd:0.logs                                      multicast  -    1      1       0       8        81
  mobile  mc/sfe.dv879:0                                           multicast  -    1      1       0       4,229    2
  mobile  mc/sfe.dv879:0.flows                                     multicast  -    0      1       0       262,186  7
  mobile  mc/sfe.dv879:0.logs                                      multicast  -    1      1       0       0        0
  mobile  mc/sfe.jfhn8:0                                           multicast  -    0      1       0       0        0
  mobile  mc/sfe.jfhn8:0.logs                                      multicast  -    0      1       0       0        0
  mobile  mc/sfe.lmzhp:0                                           multicast  -    0      1       0       0        0
  mobile  mc/sfe.lmzhp:0.flows                                     multicast  -    0      1       0       677,237  338,629
  mobile  mc/sfe.lmzhp:0.logs                                      multicast  -    0      1       0       0        0
  mobile  mc/sfe.w4lmh:0                                           multicast  -    0      1       0       0        0
  mobile  mc/sfe.w4lmh:0.logs                                      multicast  -    0      1       0       0        0
  mobile  prd-mc-rs-mdb-0-0-svc:27017                              balanced   -    1      0       31,309  23,363   7,976
  mobile  prd-mc-rs-mdb-0-0-svc:27018                              balanced   -    1      0       8       8        0
  mobile  prd-mc-rs-mdb-0-1-svc:27017                              balanced   -    1      0       44,037  32,310   11,846
  mobile  prd-mc-rs-mdb-0-1-svc:27018                              balanced   -    1      0       8       8        0
  mobile  prd-mc-rs-mdb-1-0-svc:27017                              balanced   -    0      1       5,426   0        5,369
  mobile  prd-mc-rs-mdb-1-0-svc:27018                              balanced   -    0      1       4       0        4
  local   qdhello                                                  flood      -    1      0       0       0        0
  local   qdrouter                                                 flood      -    0      0       0       0        0
  topo    qdrouter                                                 flood      -    0      1       0       0        88,648
  local   qdrouter.ma                                              multicast  -    0      0       0       0        0
  topo    qdrouter.ma                                              multicast  -    0      1       0       0        52
  mobile  sfe.30154dce-1695-472b-8dce-1f582c24acbf                 balanced   -    0      1       2       0        2
  mobile  sfe.85f36ae8-19b9-49fd-833d-02e53be0ab0e                 balanced   -    1      0       2       1        1
  mobile  sfe.d94wd:0                                              closest    -    0      0       3       0        0
  mobile  sfe.dv879:0                                              closest    -    0      1       3       0        3
  router  skupper-prd-dor-skupper-router-6c9d8b4d99-dv879          closest    -    0      1       2,059   0        2,099
  local   temp.+5TglfIaqsKKnsi                                     balanced   -    1      0       1       1        0
  local   temp.+MIDaVkVgBUJsGf                                     balanced   -    1      0       0       0        0
  local   temp.+R4Wdo5UxzPxjRh                                     balanced   -    1      0       0       0        0
