2025-08-05 18:23:01.512316+00:00 UTC
skupper-prd-wyn-skupper-router-7f4bf489d5-d94wd

Memory Pools
  type                        size    batch  thread-max  total   in-threads  rebal-in   rebal-out
  =================================================================================================
  qd_adaptor_buffer_t         16,408  16     32          6,960   6,928       15,978     15,980
  qd_adaptor_config_t         72      64     128         64      64          0          0
  qd_adaptor_listener_t       160     64     128         64      64          0          0
  qd_bitmask_t                24      64     128         1,792   1,216       32,544     32,553
  qd_buffer_t                 4,096   16     32          3,552   2,016       1,674,172  1,674,268
  qd_composed_field_t         48      64     128         448     448         0          0
  qd_composite_t              112     64     128         448     448         0          0
  qd_connection_t             2,664   16     32          112     96          750        751
  qd_connector_t              752     64     128         64      64          0          0
  qd_deferred_call_t          32      64     128         64      64          0          0
  qd_delivery_state_t         48      64     128         448     320         123        125
  qd_hash_handle_t            16      64     128         768     768         6          6
  qd_hash_item_t              40      64     128         768     768         6          6
  qd_iterator_t               128     64     128         3,584   1,280       99,431     99,467
  qd_link_ref_t               24      64     128         1,792   832         53         68
  qd_link_t                   136     64     128         960     832         9          11
  qd_listener_t               360     64     128         64      64          0          0
  qd_log_entry_t              2,112   16     32          1,008   1,008       0          0
  qd_management_context_t     56      64     128         256     256         0          0
  qd_message_content_t        1,400   64     128         2,176   1,600       68,808     68,817
  qd_message_stream_data_t    120     64     128         384     192         19         22
  qd_message_t                104     64     128         3,712   2,624       181,671    181,688
  qd_node_t                   56      64     128         64      64          0          0
  qd_parse_node_t             104     64     128         128     128         0          0
  qd_parse_tree_t             24      64     128         64      64          0          0
  qd_parsed_field_t           136     64     128         4,416   1,664       36,725     36,768
  qd_pn_free_link_session_t   32      64     128         128     128         0          0
  qd_session_t                48      64     128         256     256         0          0
  qd_tcp_adaptor_config_t     16      64     128         64      64          0          0
  qd_tcp_connector_t          144     64     128         64      64          0          0
  qd_tcp_listener_t           144     64     128         64      64          0          0
  qd_timer_t                  112     64     128         64      64          0          0
  qdr_action_t                136     64     128         1,088   384         2,424,725  2,424,736
  qdr_address_config_t        72      64     128         64      64          0          0
  qdr_address_t               392     64     128         704     704         6          6
  qdr_address_watch_t         72      64     128         64      64          0          0
  qdr_connection_info_t       144     64     128         1,280   1,216       1,433      1,434
  qdr_connection_ref_t        24      64     128         64      64          0          0
  qdr_connection_t            584     64     128         1,280   1,216       1,433      1,434
  qdr_connection_work_t       56      64     128         512     384         2,915      2,917
  qdr_core_timer_t            40      64     128         64      64          0          0
  qdr_delivery_cleanup_t      32      64     128         1,216   448         210,347    210,359
  qdr_delivery_ref_t          24      64     128         512     384         8,561      8,563
  qdr_delivery_t              400     64     128         3,456   2,304       36,692     36,710
  qdr_field_t                 32      64     128         640     320         77,584     77,589
  qdr_forward_deliver_info_t  32      64     128         64      64          0          0
  qdr_general_work_t          160     64     128         512     448         172,711    172,712
  qdr_link_ref_t              24      64     128         4,480   4,352       1,406,986  1,406,988
  qdr_link_t                  528     64     128         2,816   2,752       2,871      2,872
  qdr_link_work_t             48      64     128         1,472   1,408       201,957    201,958
  qdr_node_t                  88      64     128         64      64          0          0
  qdr_query_t                 344     64     128         320     320         0          0
  qdr_tcp_connection_ref_t    24      64     128         896     896         15         15
  qdr_tcp_connection_t        2,480   16     32          1,264   960         6,095      6,114
  qdr_tcp_stats_t             72      64     128         64      64          0          0
  qdr_terminus_t              64      64     128         448     384         3          4
  qdtm_router_t               16      64     128         64      64          0          0
  vflow_attribute_data_t      32      64     128         10,368  8,384       1,386      1,417
  vflow_rate_t                112     64     128         1,216   896         17         22
  vflow_record_t              160     64     128         1,600   1,152       1,522      1,529
  vflow_work_t                56      64     128         448     320         1,240,634  1,240,636

Memory Summary
  VmSize   RSS      Pooled
  ===========================
  548 MiB  194 MiB  138 MiB
